STAND,PLOT #,TREE #,SPECIES,DBH,TOTAL HGT,PLOT FACTOR
one1,1,1,DF,24,138,54.54
one1,1,2,DF,25,,54.54
one1,1,3,WH,24,,54.54
one1,1,4,RC,21,,54.54
one1,1,5,RC,15,,54.54
one1,2,1,DF,18,,54.54
one1,2,2,WH,19,,54.54
one1,2,3,DF,23,,54.54
one1,2,4,DF,27,,54.54
one1,2,5,DF,22,,54.54
one1,3,1,RC,15,,54.54
one1,3,2,WH,16,,54.54
one1,3,3,DF,21,,54.54
one1,4,1,DF,20,,54.54
one1,4,2,DF,30,,54.54
one1,4,3,WH,27,,54.54
one1,4,4,RC,16,,54.54
one1,5,1,DF,21,,54.54
one1,5,2,DF,20,,54.54
one1,5,3,RC,17,,54.54
one1,5,4,DF,23,,54.54
one1,5,5,WH,26,,54.54
