STAND,PLOT #,TREE #,SPECIES,DBH,TOTAL HGT,PLOT FACTOR
PY1,1,1,df,29.5,119,33.3
PY1,1,2,WH,18.9,,33.3
PY1,1,3,RC,20.2,101,33.3
PY1,1,4,SS,19.9,100,33.3
PY1,1,5,ES,20.6,,33.3
PY1,2,1,SF,25,117,33.3
PY1,2,2,GF,14.3,105,33.3
PY1,2,3,NF,20.4,,33.3
PY1,2,4,WL,16,109,33.3
PY1,2,5,WP,20.2,124,33.3
PY1,2,6,PP,19.5,,33.3
PY1,2,7,LP,23.4,123,33.3
PY1,2,8,JP,17.8,116,33.3
PY1,2,9,SP,22.3,125,33.3
PY1,3,1,WF,10.9,,33.3
PY1,3,2,RF,24.1,103,33.3
PY1,3,3,RW,21.1,109,33.3
PY1,3,4,IC,10.4,57,33.3
PY1,4,1,RA,10.9,,33.3
PY1,4,2,BM,24.1,103,33.3
PY1,4,3,CW,21.1,109,33.3
PY1,4,4,AS,10.4,57,33.3
PY1,5,1,ra,10.9,,33.3
PY1,5,2,ra,24.1,103,33.3
PY1,5,3,df,21.1,109,33.3
PY1,5,4,df,10.4,57,33.3
