STAND,PLOT #,TREE #,SPECIES,DBH,TOTAL HGT,PLOT FACTOR
PY1,1,1,df,29.5,119,33.3
PY2,1,1,df,29.5,119,33.3
PY3,1,1,df,29.5,119,33.3
PY4,1,1,df,29.5,119,33.3
PY5,1,1,df,29.5,119,33.3
PY6,1,1,df,29.5,119,33.3
PY7,1,1,df,29.5,119,33.3
PY8,1,1,df,29.5,119,33.3
PY9,1,1,df,29.5,119,33.3
PY10,1,1,df,29.5,119,33.3
PY11,1,1,df,29.5,119,33.3
PY12,1,1,df,29.5,119,33.3
PY13,1,1,df,29.5,119,33.3
PY14,1,1,df,29.5,119,33.3
PY15,1,1,df,29.5,119,33.3
PY16,1,1,df,29.5,119,33.3
PY17,1,1,df,29.5,119,33.3
PY18,1,1,df,29.5,119,33.3
PY19,1,1,df,29.5,119,33.3
PY20,1,1,df,29.5,119,33.3
PY21,1,1,df,29.5,119,33.3
PY22,1,1,df,29.5,119,33.3
PY23,1,1,df,29.5,119,33.3
PY24,1,1,df,29.5,119,33.3
PY25,1,1,df,29.5,119,33.3
PY26,1,1,df,29.5,119,33.3
PY27,1,1,df,29.5,119,33.3
PY28,1,1,df,29.5,119,33.3
PY29,1,1,df,29.5,119,33.3
PY30,1,1,df,29.5,119,33.3
PY31,1,1,df,29.5,119,33.3
PY32,1,1,df,29.5,119,33.3
PY33,1,1,df,29.5,119,33.3
PY34,1,1,df,29.5,119,33.3
PY35,1,1,df,29.5,119,33.3
PY36,1,1,df,29.5,119,33.3
